s/n,subject,level,question,students_response,recipe,suggested_answer,rubrics,error_tags,,,,,,,
402,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,,,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,,,,,,,,
403,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,,,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,,,,,,,,
404,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,,,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,,,,,,,,
405,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,,,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,,,,,,,,
406,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,,,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,,,,,,,,
407,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,,,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,,,,,,,,
408,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,,,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,,,,,,,,
409,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,,,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,,,,,,,,
410,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,,,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,,,,,,,,
411,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n",, ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,,,,,,,,
412,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n",, ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,,,,,,,,
413,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n",, ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,,,,,,,,
414,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n",, ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,,,,,,,,
415,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n",, ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,,,,,,,,
416,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n",, ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,,,,,,,,
417,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n",, ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,,,,,,,,
418,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n",, ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,,,,,,,,
419,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n",, ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,,,,,,,,
420,,,"<div class=\""paragraph\"">What are FTAs? How does FTAs enable economic cooperation?</div>.\n",, ,"<div class=\""paragraph\"">FTA stands for Free Trade Agreements. By engaging in free trade, countires can choose to cooperate wtih other countries.</div>",,,,,,,,,
421,,,"<div class=\""paragraph\"">What are the 3 ways government can respond to economic opportunities and challenges?</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>","<div class=\""paragraph\"">the 3 ways are 1. through economic cooperation with other countries, 2. by attracting and making foreign investments, 3. by providing financial support and developing local expertise.</div>",,,,,,,,,
422,,,"<div class=\""paragraph\"">What are the 3 ways government can respond to economic opportunities and challenges?</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>","<div class=\""paragraph\"">the 3 ways are 1. through economic cooperation with other countries, 2. by attracting and making foreign investments, 3. by providing financial support and developing local expertise.</div>",,,,,,,,,
423,,,"<div class=\""paragraph\"">What are the 3 ways government can respond to economic opportunities and challenges?</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>","<div class=\""paragraph\"">the 3 ways are 1. through economic cooperation with other countries, 2. by attracting and making foreign investments, 3. by providing financial support and developing local expertise.</div>",,,,,,,,,
424,,,"<div class=\""paragraph\"">What are the 3 ways government can respond to economic opportunities and challenges?</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>","<div class=\""paragraph\"">the 3 ways are 1. through economic cooperation with other countries, 2. by attracting and making foreign investments, 3. by providing financial support and developing local expertise.</div>",,,,,,,,,
425,,,"<div class=\""paragraph\"">What are the 3 ways government can respond to economic opportunities and challenges?</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>","<div class=\""paragraph\"">the 3 ways are 1. through economic cooperation with other countries, 2. by attracting and making foreign investments, 3. by providing financial support and developing local expertise.</div>",,,,,,,,,
426,,,"<div class=\""paragraph\"">What are the 3 ways government can respond to economic opportunities and challenges?</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>","<div class=\""paragraph\"">the 3 ways are 1. through economic cooperation with other countries, 2. by attracting and making foreign investments, 3. by providing financial support and developing local expertise.</div>",,,,,,,,,
427,,,"<div class=\""paragraph\"">What are the 3 ways government can respond to economic opportunities and challenges?</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>","<div class=\""paragraph\"">the 3 ways are 1. through economic cooperation with other countries, 2. by attracting and making foreign investments, 3. by providing financial support and developing local expertise.</div>",,,,,,,,,
428,,,"<div class=\""paragraph\"">What are the 3 ways government can respond to economic opportunities and challenges?</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>","<div class=\""paragraph\"">the 3 ways are 1. through economic cooperation with other countries, 2. by attracting and making foreign investments, 3. by providing financial support and developing local expertise.</div>",,,,,,,,,
429,,,"<div class=\""paragraph\"">What are the 3 ways government can respond to economic opportunities and challenges?</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>","<div class=\""paragraph\"">the 3 ways are 1. through economic cooperation with other countries, 2. by attracting and making foreign investments, 3. by providing financial support and developing local expertise.</div>",,,,,,,,,
430,,,"<div class=\""paragraph\"">What are the 3 ways government can respond to economic opportunities and challenges?</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>","<div class=\""paragraph\"">the 3 ways are 1. through economic cooperation with other countries, 2. by attracting and making foreign investments, 3. by providing financial support and developing local expertise.</div>",,,,,,,,,
